question,answer,dataset
What are the 6 highest numbers of ground casualties in incidents?,"[1600, 900, 237, 107, 88, 87]",019_Aircraft
"Are there any properties with a price over 1,000,000?",True,020_Real
Any property with more than 10 bedrooms?,True,020_Real
Are there properties with zero bathrooms?,False,020_Real
Has any property been listed for more than 100 days?,True,020_Real
What's the highest price in the dataset?,17000000.0,020_Real
What's the total number of properties listed?,26026,020_Real
What's the longest duration a property has been listed?,2535.0,020_Real
What's the largest surface listed?,5504.0,020_Real
What's the most common type of property listed?,Piso,020_Real
Which advertiser has listed the most properties?,housell,020_Real
Which property has the highest price?,GM31-121816,020_Real
Which property has the largest surface area?,IF5563-FINCA VALLE LOZOYA,020_Real
What are the five types of properties more frequently listed?,"['Piso', 'Chalet', 'Apartamento', 'Chalet adosado', 'Chalet unifamiliar']",020_Real
What are the 2 types of properties which are listed more frequently?,"['Piso', 'Chalet']",020_Real
What are the 2 most common localities for properties listed?,"['Madrid Capital', 'Torrejón de Ardoz']",020_Real
What are the 2 most common districts for properties listed?,"['Centro', 'Salamanca']",020_Real
What are the 5 highest property prices listed?,"[17000000.0, 13600000.0, 13250000.0, 13000000.0, 12000000.0]",020_Real
List the 3 longest durations properties have been listed.,"[2535.0, 2534.0, 2285.0]",020_Real
Identify the 4 largest surfaces listed.,"[5504.0, 3957.0, 2974.0, 2927.0]",020_Real
What are the 6 highest numbers of bedrooms in properties listed?,"[20, 20, 20, 20, 20, 20]",020_Real
Are there more than 2000 customers with a monthly charge higher than $80?,True,021_Telco
Do all customers have phone service?,True,021_Telco
Are there any customers with no internet service?,True,021_Telco
Are there any customers who are senior citizens and have dependents?,True,021_Telco
How many unique customers are there in the dataset?,7043,021_Telco
What's the highest monthly charge?,118.75,021_Telco
What's the total number of customers?,7043,021_Telco
What's the longest tenure?,72,021_Telco
What's the most common payment method?,Electronic check,021_Telco
What's the most common contract type?,Month-to-month,021_Telco
Which customer has the highest total charge?,2889-FPWRM,021_Telco
Which customer has the highest monthly charge?,7569-NMZYQ,021_Telco
What are the top 3 most common internet services?,"['Fiber optic', 'DSL', 'No']",021_Telco
Name the 4 most common payment methods.,"['Electronic check', 'Mailed check', 'Bank transfer (automatic)', 'Credit card (automatic)']",021_Telco
What are the 2 most common types of contract?,"['Month-to-month', 'Two year']",021_Telco
What are the 2 most common services for which customers have multiple lines?,"['No', 'Yes']",021_Telco
What are the 5 highest total charges?,"[8684.8, 8672.45, 8670.1, 8594.4, 8564.75]",021_Telco
What are the 4 highest monthly charges?,"[118.75, 118.65, 118.6, 118.6]",021_Telco
What are the 6 longest tenures?,"[72, 72, 72, 72, 72, 72]",021_Telco
What are the 3 shortest tenures?,"[0, 0, 0]",021_Telco
Is there a listing with a review score rating of 100?,True,022_Airbnbs
Are there any hosts who have listed more than 10 properties?,True,022_Airbnbs
Are all listings instantly bookable?,False,022_Airbnbs
Is there a listing that requires a minimum of 365 nights?,True,022_Airbnbs
How many unique hosts are there in the dataset?,26765,022_Airbnbs
What is the highest number of listings a single host has?,2739.0,022_Airbnbs
How many unique locations are listed by the hosts?,1316,022_Airbnbs
What is the average review score rating across all listings?,93.767188,022_Airbnbs
What is the most common host location?,"New York, New York, United States",022_Airbnbs
What is the name of the listing with the most bedrooms?,"Walk to UN, Macy's & Empire State B",022_Airbnbs
Which location has the highest number of listings?,"New York, New York, United States",022_Airbnbs
What is the most common property type?,Entire apartment,022_Airbnbs
What are the top 6 unique host locations with the most listings?,"['New York, New York, United States', 'US', 'Brooklyn, New York, United States', 'Queens, New York, United States', 'Los Angeles, California, United States', 'Bronx, New York, United States']",022_Airbnbs
What are the 2 unique host locations with the most listings?,"['New York, New York, United States', 'US']",022_Airbnbs
List the 4 most common property types.,"['Entire apartment', 'Private room in apartment', 'Entire condominium', 'Entire house']",022_Airbnbs
What are the 2 most common types of properties?.,"['Entire apartment', 'Private room in apartment']",022_Airbnbs
What are the top 3 highest review score ratings?,"[100, 100, 100]",022_Airbnbs
What are the 5 lowest number of minimum nights required?,"[1, 1, 1, 1, 1]",022_Airbnbs
What are the 4 highest unique number of bedrooms listed?,"[21, 14, 13, 11]",022_Airbnbs
What are the 6 lowest review scores given because of locations?,"[2, 2, 2, 2, 2, 2]",022_Airbnbs
Was there a day when the minimum temperature was below zero and it didn't rain?,True,023_Climate
Are there records where the solar radiation exceeds 10 but the maximum temperature was below 20?,True,023_Climate
Did any day with maximum wind speed above 15 also have average wind speed below 5?,True,023_Climate
Were there days in the summer where the minimum temperature dropped below 10?,True,023_Climate
How many days had a maximum temperature above 30 degrees?,5500,023_Climate
"On average, what's the minimum temperature during winters?",2.7196082770831027,023_Climate
How many unique days had solar radiation measurements?,28615,023_Climate
What's the highest wind speed ever recorded?,32.2,023_Climate
On which weekday did the highest temperature ever occur?,Friday,023_Climate
In which season do we find the highest average solar radiation?,Summer,023_Climate
Which month had the lowest average wind speed?,October,023_Climate
On what date was the highest pressure ever recorded?,2016-12-22T00:00:00Z,023_Climate
What are the top 3 months with the highest average maximum temperatures?,"['July', 'August', 'June']",023_Climate
"Which are the 5 weekdays with the most rain, ranked from highest to lowest?","['Friday', 'Sunday', 'Saturday', 'Thursday', 'Wednesday']",023_Climate
"List the 4 seasons ranked by average solar radiation, from highest to lowest.","['Summer', 'Spring', 'Autumn', 'Winter']",023_Climate
Which 2 months recorded the lowest average minimum temperatures?,"['January', 'December']",023_Climate
List the top 5 recorded maximum temperatures.,"[40.7, 40.6, 40.0, 40.0, 40.0]",023_Climate
What are the 4 lowest wind speeds ever recorded?,"[0.0, 0.0, 0.0, 0.0]",023_Climate
Rank the highest 3 solar radiation measurements.,"[14.9, 14.8, 14.7]",023_Climate
Which 6 days of the year (numbered from 1 to 365/366) had the highest average temperatures?,"[209, 210, 208, 207, 211, 205]",023_Climate
"Are there records where the RETRINOIN_xRZI exceeds 10,000?",True,024_Salary
Are there any female respondents who belong to the ESTE NUTS1 region?,True,024_Salary
Do we have respondents who fall under both PRIVADO control and NACIONAL market?,True,024_Salary
"Are there records with RETRINOIN_WwQk less than 5,000?",True,024_Salary
How many unique respondents belong to the ESTE NUTS1 region?,58852,024_Salary
"On average, what's the RETRINOIN value for male respondents?",29370.243704368546,024_Salary
What's the highest value for RETRINOIN_ac1q in the dataset?,199496.34,024_Salary
How many unique clusters are present in the 'umap_cluster' column?,73,024_Salary
Which 'ANOS2' category has the most number of respondents?,DE 40 A 49,024_Salary
In which 'NUTS1' region do we find the highest average RETRINOIN?,COMUNIDAD DE MADRID,024_Salary
Which 'MERCADO' category is the least common in the dataset?,UNIÓN EUROPEA,024_Salary
Which 'umap_cluster' is the most dominant in the dataset?,Cluster 1,024_Salary
Which are the 2 least common age categories in the dataset?,"['MENOS 19 AÑOS', 'MÁS DE 59']",024_Salary
Which are the 3 least common 'ANOS2' categories in the dataset?,"['MENOS 19 AÑOS', 'MÁS DE 59', 'DE 20 A 29']",024_Salary
List the top 5 'NUTS1' regions by frequency.,"['ESTE', 'COMUNIDAD DE MADRID', 'NORESTE', 'SUR', 'CENTRO']",024_Salary
Which 2 'umap_cluster' categories are the least represented?,"['Cluster 71', 'Cluster 73']",024_Salary
List the top 5 recorded RETRINOIN values.,"[4225998.36, 4153877.05, 4021902.63, 3903390.45, 2192967.2]",024_Salary
What are the 4 lowest x values in the dataset?,"[-23714.217, -23706.5, -23698.271, -23697.166]",024_Salary
Rank the highest 3 y values in the dataset.,"[28352.02, 28313.926, 28283.78]",024_Salary
What are the largest 2 y values in the dataset?.,"[28352.02, 28313.926]",024_Salary
Is the most visited URL related to 'no code data science'?,True,025_Data
Does any URL have a competition level of 'Low'?,True,025_Data
Are there any URLs with an average monthly searches above 1000?,False,025_Data
Is the URL with the lowest ranking also the one with the highest monthly searches?,True,025_Data
How many unique URLs are in the dataset?,28,025_Data
What is the lowest ranking value in the dataset?,11,025_Data
What is the minimum average monthly searches in the dataset?,50,025_Data
How many unique keywords are present in the dataset?,6,025_Data
What is the competition level of the highest-ranked URL?,Medium,025_Data
What keyword has the highest average monthly searches?,no code data science,025_Data
What is the competition level for the URL with the highest ranking?,Low,025_Data
What keyword is associated with the URL with the lowest ranking?,no code data science,025_Data
What are the top 3 URLs with the highest average monthly searches?,"['https://www.obviously.ai/', 'https://venturebeat.com/2021/10/12/no-code-ai-startup-obviously-ai-raises-4-7m/', 'https://hbr.org/2021/11/how-no-code-platforms-could-disrupt-the-it-industry']",025_Data
List the bottom 2 competition levels of URLs with ranking better than 5.,"['Medium', 'Unknown']",025_Data
Which are the top 4 keywords associated with the URLs of lowest rankings?,"['no code data science', 'no code data analytics', 'no code data science', 'no code data science']",025_Data
Enumerate the bottom 3 URLs with the highest rankings.,"['https://www.obviously.ai/', 'https://www.obviously.ai/', 'https://venturebeat.com/2021/10/12/no-code-ai-startup-obviously-ai-raises-4-7m/']",025_Data
What are the lowest 4 rankings associated with the keyword 'no code data science'?,"[10, 9, 8, 7]",025_Data
List the bottom 3 average monthly searches for URLs with medium competition.,"[50, 50, 50]",025_Data
Provide the lowest 5 rankings of URLs with low competition (if any).,"[11, 10, 10, 9, 9]",025_Data
Specify the bottom 2 average monthly searches for URLs with the highest rankings.,"[50, 50]",025_Data
Is there any wine with a quality rating of 10?,False,026_Predicting
Are there any wines with residual sugar above 15g/dm^3?,True,026_Predicting
Is the highest alcohol content wine also the one with the highest quality rating?,False,026_Predicting
Does any wine have a pH level below 2.5?,False,026_Predicting
How many unique quality ratings are there in the dataset?,6,026_Predicting
What is the maximum fixed acidity level found in the dataset?,15.9,026_Predicting
What is the minimum volatile acidity level in the dataset?,0.12,026_Predicting
How many wines have free sulfur dioxide above 50 mg/dm^3?,16,026_Predicting
What is the quality rating of the wine with the highest alcohol content?,5,026_Predicting
What is the quality rating of the wine with the highest fixed acidity?,5,026_Predicting
What is the quality rating of the wine with the lowest volatile acidity?,7,026_Predicting
What is the quality rating of the wine with the highest pH level?,6,026_Predicting
List the quality ratings of the top 3 wines with the highest alcohol content.,"['5', '6', '6']",026_Predicting
Enumerate the quality ratings of the bottom 2 wines with the lowest residual sugar.,"['6', '6']",026_Predicting
Which are the quality ratings of the top 5 wines with the highest density?,"['6', '6', '7', '5', '5']",026_Predicting
List the quality ratings of the bottom 4 wines with the lowest pH level.,"['4', '6', '6', '8']",026_Predicting
What are the alcohol contents of the top 4 wines with the highest quality ratings?,"['12.8', '12.6', '12.9', '9.8']",026_Predicting
List the volatile acidity levels of the bottom 3 wines with the lowest quality ratings.,"['0.58', '0.61', '1.185']",026_Predicting
Enumerate the fixed acidity levels of the top 5 wines with the highest quality ratings.,"['7.9', '10.3', '5.6', '12.6', '11.3']",026_Predicting
Provide the residual sugar levels of the bottom 2 wines with the lowest quality ratings.,"['2.2', '2.1']",026_Predicting
Is there any purchase with a total cost above 1000?,True,027_Supermarket
Are there any customers who made a purchase using cash?,True,027_Supermarket
Is the customer with the highest total purchase cost a 'Member'?,True,027_Supermarket
Does any customer with a rating strictly above 9 use 'Ewallet' as their payment method?,True,027_Supermarket
How many unique branches are there in the dataset?,3,027_Supermarket
What is the maximum quantity of products bought in a single purchase?,10,027_Supermarket
What is the minimum total cost of a purchase in the dataset?,10.6785,027_Supermarket
How many purchases were made in Yangon city?,340,027_Supermarket
What is the payment method used for the purchase with the highest total cost?,Credit card,027_Supermarket
What is the product line of the purchase with the highest total cost?,Fashion accessories,027_Supermarket
What is the customer type of the purchase with the lowest total cost?,Member,027_Supermarket
What is the gender of the customer with the highest total purchase cost?,Female,027_Supermarket
List the payment methods of the top 3 purchases with the highest total cost.,"['Credit card', 'Credit card', 'Ewallet']",027_Supermarket
Enumerate the product lines of the bottom 2 purchases with the lowest total cost.,"['Sports and travel', 'Fashion accessories']",027_Supermarket
Which are the customer types of the top 5 purchases with the highest total cost?,"['Member', 'Normal', 'Member', 'Normal', 'Normal']",027_Supermarket
List the genders of the bottom 4 purchases with the lowest total cost.,"['Male', 'Female', 'Female', 'Male']",027_Supermarket
What are the quantities of products bought in the top 4 purchases with the highest total cost?,"[10, 10, 10, 10]",027_Supermarket
List the unit prices of the bottom 3 purchases with the lowest total cost.,"[10.17, 12.09, 12.54]",027_Supermarket
Enumerate the ratings of the top 5 purchases with the highest total cost.,"[6.6, 8.7, 4.5, 8.0, 4.4]",027_Supermarket
Provide the gross incomes of the bottom 2 purchases with the lowest total cost.,"[0.5085, 0.6045]",027_Supermarket
Are there any individuals in the dataset who are above 60 years of age?,False,028_Predict
Does anyone have a Diabetes Pedigree Function score above 2.5?,True,028_Predict
Does the person with the highest glucose level also have diabetes?,True,028_Predict
Is there anyone who has zero pregnancies and is diabetic?,True,028_Predict
What is the maximum number of pregnancies recorded in the dataset?,17,028_Predict
What is the minimum blood pressure level recorded in the dataset?,0,028_Predict
What is the average BMI recorded in the dataset?,31.992578124999998,028_Predict
How many individuals have an insulin level above 150?,187,028_Predict
What is the diabetes outcome for the person with the highest BMI?,1,028_Predict
What is the diabetes outcome for the person with the lowest blood pressure?,0,028_Predict
What is the diabetes outcome for the person with the highest insulin level?,1,028_Predict
What is the diabetes outcome for the person with the lowest glucose level?,0,028_Predict
List the diabetes outcomes of the top 3 individuals with the highest number of pregnancies.,"[1, 1, 1]",028_Predict
List the diabetes outcomes of the bottom 2 individuals with the lowest BMI.,"[0, 0]",028_Predict
List the diabetes outcomes of the top 5 individuals with the highest insulin levels.,"[1, 1, 1, 1, 1]",028_Predict
List the diabetes outcomes of the bottom 4 individuals with the lowest blood pressure.,"[0, 0, 0, 0]",028_Predict
What are the ages of the top 4 individuals with the highest number of pregnancies?,"[51, 67, 67, 67]",028_Predict
List the BMI of the bottom 3 individuals with the lowest glucose levels.,"[32.0, 32.0, 32.0]",028_Predict
Enumerate the blood pressure levels of the top 5 individuals with the highest Diabetes Pedigree Function scores.,"[0, 0, 0, 0, 0]",028_Predict
Provide the glucose levels of the 2 individuals with the highest insulin levels.,"[189, 197]",028_Predict
Are there any articles that have the material type 'Op-Ed'?,False,029_NYTimes
Does the article with the longest headline contain the keyword 'United States Politics and Government'?,False,029_NYTimes
Is there any article published on '2021-01-05'?,False,029_NYTimes
Does any article contain more than 10 keywords?,True,029_NYTimes
How many unique material types are there in the dataset?,4,029_NYTimes
What is the longest length of a headline in the dataset?,96,029_NYTimes
How many articles were published on '2021-01-02'?,52,029_NYTimes
What is the highest number of keywords associated with a single article?,8,029_NYTimes
What is the material type of the article with the longest headline?,News,029_NYTimes
What is the material type of the article with the shortest headline?,News,029_NYTimes
What is the material type of the article with the most number of keywords?,News,029_NYTimes
What is the material type of the article with the least number of keywords?,News,029_NYTimes
List the material types of the top 3 articles with the longest headlines.,"['News', 'News', 'News']",029_NYTimes
List the material types of the bottom 2 articles with the shortest headlines.,"['News', 'News']",029_NYTimes
List the material types of the top 5 articles with the most number of keywords.,"['News', 'News', 'News', 'News', 'News']",029_NYTimes
List the material types of the bottom 4 articles with the least number of keywords.,"['News', 'News', 'News', 'News']",029_NYTimes
What are the lengths of the headlines of the top 4 articles with the most number of keywords?,"[86, 85, 84, 84]",029_NYTimes
List the number of keywords in the bottom 3 articles with the shortest headlines.,"[1, 1, 1]",029_NYTimes
Enumerate the lengths of the headlines of the top 5 articles with the longest headlines.,"[96, 96, 95, 95, 95]",029_NYTimes
Provide the number of keywords in the bottom 2 articles with the least number of keywords.,"[1, 1]",029_NYTimes
Is the 'USA' the most common entry in the 'Geographies' column?,False,030_Professionals
Are there any participants who are unemployed with a bachelor's degree from Africa?,False,030_Professionals
Do all participants recommend Python as the first programming language?,False,030_Professionals
Are there more than 1000 participants who hope to become familiar with AWS in the next 2 years?,False,030_Professionals
How many unique job titles are represented in the dataset?,14,030_Professionals
What's the median of the average number of years participants have used machine learning methods?,1.5,030_Professionals
How many participants are from the United Kingdom?,450,030_Professionals
What is the most common number of programming languages used by participants on a regular basis?,2,030_Professionals
What's the most common computing platform used for data science projects?,A laptop,030_Professionals
What's the most common programming language used on a regular basis?,Python,030_Professionals
Which country has the second highest number of participants?,United States of America,030_Professionals
Which title is the most common among participants?,Data Scientist,030_Professionals
What are the top 4 geographies represented in the dataset?,"['India', 'USA', 'Western Europe', 'China - Japan - Korea']",030_Professionals
Name the top 3 general segments of participants.,"['Analysts', 'Data Scientists', 'Academics']",030_Professionals
list the top 4 most common job titles.,"['Data Scientist', 'Software Engineer', 'Other', 'Data Analyst']",030_Professionals
Identify the top 6 programming languages used regularly.,"['Python', 'SQL', 'R', 'Javascript', 'C++', 'Java']",030_Professionals
Report the top 4 age ranges of participants by frequency,"['25-29', '30-34', '22-24', '35-39']",030_Professionals
list the highest average 3 years of machine learning experience.,"[19.83, 19.74, 19.68]",030_Professionals
Identify the 5 highest yearly compensations.,"[1000000, 1000000, 1000000, 1000000, 1000000]",030_Professionals
Report the 5 most common sizes of the company where participants work.,"['0-49 employees', '10,000 or more employees', '1000-9,999 employees', '50-249 employees', '250-999 employees']",030_Professionals
Are there more reviews with rating 5 from 'GB' than 'US'?,True,031_Trustpilot
Is the average rating for 'Wise' in 'GB' above 4?,True,031_Trustpilot
Do any reviews originate from 'AO'?,True,031_Trustpilot
Did any reviews receive a rating of 1?,True,031_Trustpilot
What's the total number of reviews for 'Wise'?,3840,031_Trustpilot
How many unique countries gave 'Wise' a rating of 5?,120,031_Trustpilot
What is the highest rating received?,5,031_Trustpilot
What's the average rating across all reviews?,4.097755610972569,031_Trustpilot
Which company received the most 5-star reviews?,Wise,031_Trustpilot
From which country did 'Wise' receive the most reviews?,GB,031_Trustpilot
Which country had the lowest representation in the reviews?,CW,031_Trustpilot
Which company received the lowest rating?,N26,031_Trustpilot
Which are the top 3 countries with the most 5-star reviews for 'Wise'?,"['GB', 'US', 'ES']",031_Trustpilot
Which are the 2 companies represented in the dataset?,"['Wise', 'N26']",031_Trustpilot
Which are the bottom 4 countries in terms of review count? If two or more have the same number order them alphabetically.,"['CW', 'FO', 'KZ', 'NE']",031_Trustpilot
What are the 3 most common countries? If two or more have the same number order them alphabetically.,"['GB', 'DE', 'FR']",031_Trustpilot
What are the 3 most common ratings?,"[5, 1, 4]",031_Trustpilot
What are the 2 least common ratings?,"[3, 2]",031_Trustpilot
What are the best 4 unique ratings given to 'Wise'?,"[5, 4, 2, 1]",031_Trustpilot
What are the bottom 5 unique ratings given to 'N26'?,"[1, 2, 3, 4, 5]",031_Trustpilot
Is there any customer with a PhD education level?,True,032_Delicatessen
Do we have any customers who are married?,True,032_Delicatessen
Is there any customer with income higher than 100000?,True,032_Delicatessen
Has any customer made more than 10 web purchases?,True,032_Delicatessen
How many customers do we have in the dataset?,2240,032_Delicatessen
What's the average income of our customers?,52247.25135379061,032_Delicatessen
What's the maximum number of web purchases made by a customer?,27,032_Delicatessen
What's the minimum recency of purchase among the customers?,0,032_Delicatessen
What's the most common education level among our customers?,Graduation,032_Delicatessen
What's the most common marital status among our customers?,Married,032_Delicatessen
Who is the customer with the highest income?,9432,032_Delicatessen
Who is the customer with the most recent purchase?,4047,032_Delicatessen
Who are the 3 customers with the highest income?,"[9432, 1503, 1501]",032_Delicatessen
What are the 2 most common education levels among our customers?,"['Graduation', 'PhD']",032_Delicatessen
What are the 3 most common marital statuses among our customers?,"['Married', 'Together', 'Single']",032_Delicatessen
Who are the 3 customers with the most web purchases?,"[5255, 4619, 10311]",032_Delicatessen
What are the top 3 income values among our customers?,"[666666.0, 162397.0, 160803.0]",032_Delicatessen
What are the top 2 recency values among our customers?,"[99, 99]",032_Delicatessen
What are the bottom 3 income values among our customers?,"[1730.0, 2447.0, 3502.0]",032_Delicatessen
What are the bottom 2 recency values among our customers?,"[0, 0]",032_Delicatessen
Is there any customer with a high salary?,True,033_Employee
Do we have any employees who suffered a work accident?,True,033_Employee
Is there any employee with more than 100 hours per month on average?,True,033_Employee
Does any employee have a satisfaction level above 0.9?,True,033_Employee
How many employees do we have in the dataset?,14999,033_Employee
What's the median satisfaction level of our employees?,0.64,033_Employee
What's the highest number of projects for a given employee?,7,033_Employee
What's the most common marital status among the employees?,Together,033_Employee
What's the most common education level among our employees?,Graduation,033_Employee
What's the most common marital status in the database?,Married,033_Employee
"Among the employees who have left the company in sales, what's the most common salary level?",low,033_Employee
"Among the employees who have had a work accident in sales, what's the most common salary level?",low,033_Employee
What are the top 3 satisfaction levels?,"[1, 1, 1]",033_Employee
What are the top 2 most common Work Accident statuses among our employees?,"['No', 'Yes']",033_Employee
What are the top 3 most common marital statuses among our employees?,"['Together', 'Single', 'Married']",033_Employee
What are the highest 3 years spent in the company? ,"[10, 10, 10]",033_Employee
What are the 3 departments with more 'medium' salary levels?,"['sales', 'technical', 'support']",033_Employee
"For the 2 employees with the top satisfaction levels who belong to the sales department, what are their salary levels?","['low', 'low']",033_Employee
What are the top 3 average monthly hours worked among the employees in the top 3 departments with the most employees?,"[200.91135265700484, 202.49742647058824, 200.75818752803949]",033_Employee
What are the lowest 2 satisfaction levels among the employees who have not had a work accident?,"[0.09, 0.09]",033_Employee
"Is there any country with a Ladder score above 7.5, a Generosity score above 0.2, and a Social support score above 0.7?",True,034_World
"Are there any countries in Western Europe with a Perceptions of corruption score above 0.5, a Ladder score above 7, and a Social support score above 0.7?",True,034_World
Are there any countries in Western Europe with a Perceptions of corruption score above 0.5?,True,034_World
Is there any country with a Social support score below 0.5?,True,034_World
What's the average Ladder score among the countries in Western Europe with a Generosity score above 0.2 and a Social support score above 0.7?,7.222675085250001,034_World
What's the average Perceptions of corruption score among the countries in Sub-Saharan Africa with a Ladder score below 5 and a Social support score below 0.5?,0.7493706045,034_World
What's the maximum Generosity score among the countries?,0.560663998,034_World
What's the minimum Social support score among the countries?,0.319459856,034_World
Which region has the highest number of countries with a Ladder score above 7 and a Generosity score above 0.2?,Western Europe,034_World
Which region accounts for the most countries with a Generosity score above 0.2?,Western Europe,034_World
In which region are the majority of countries with a Perceptions of corruption score below 0.5 located?,Western Europe,034_World
In which region can you find the majority of countries with a Social support score above 0.7?,Western Europe,034_World
Can you name the three regions that have the most countries with a Ladder score above 7 and a Generosity score above 0.2?,['Western Europe'],034_World
What are the top 3 regions with the most countries with a Generosity score above 0.2?,"['Western Europe', 'Southeast Asia', 'Sub-Saharan Africa']",034_World
Identify the three highest Ladder scores from countries in Western Europe that have a Generosity score above 0.2 and a Social support score above 0.7.,"[7.504499912, 7.448900223, 7.164500237]",034_World
What are the top 3 Perceptions of corruption scores among the countries in Sub-Saharan Africa?,"[0.891806662, 0.861874342, 0.861330688]",034_World
What are the top 3 Generosity scores among the countries in Western Europe?,"[0.263732493, 0.246944219, 0.214965805]",034_World
What are the top 3 Social support scores among the countries in Sub-Saharan Africa?,"[0.910357833, 0.852532268, 0.846880972]",034_World
Which are the three lowest Ladder scores in Western Europe?,"[5.514999866, 5.53550005, 5.910900116]",034_World
Which are the three lowest Perceptions of corruption scores in Sub-Saharan Africa?,"[0.183541179, 0.606934547, 0.619799435]",034_World
Is the song with the highest rank from 1965?,True,035_Billboard
Does the song with the lowest rank contain the word 'love' in its lyrics?,True,035_Billboard
Is the artist of the song with the highest rank the same as the artist of the song with the lowest rank?,False,035_Billboard
Are there songs without lyrics?,True,035_Billboard
How many songs were produced in 1965?,100,035_Billboard
In which year was the song with the highest rank produced?,1965,035_Billboard
What's the rank of the song with the longest lyrics?,19,035_Billboard
How many unique artists are there in the dataset?,2473,035_Billboard
Who is the artist of the song with the highest rank?,sam the sham and the pharaohs,035_Billboard
What is the title of the song with the lowest rank?,how sweet it is to be loved by you,035_Billboard
Which song's lyrics contain the word 'love' the most times?,the way you love me,035_Billboard
What is the title of the top song produced in the earliest year?,wooly bully,035_Billboard
Who are the artists of the top 5 ranked songs?,"['sam the sham and the pharaohs', 'ssgt barry sadler', 'the beach boys', 'the beatles', 'the beatles']",035_Billboard
What are the titles of the 3 songs with the shortest lyrics?,"['girl youll be a woman soon', 'papa dont preach', 'breathe']",035_Billboard
What are the top 4 songs by rank produced in the most recent year?,"['uptown funk', 'thinking out loud', 'see you again', 'trap queen']",035_Billboard
Who are the artists of the bottom 5 ranked songs?,"['marvin gaye', 'wilson pickett', 'neil diamond', 'jerry butler', 'the beatles']",035_Billboard
What are the ranks of the top 3 songs with the most occurrences of the word 'love' in their lyrics?,"[64, 41, 28]",035_Billboard
What are the years of production of the bottom 4 ranked songs?,"[1965, 1966, 1967, 1968]",035_Billboard
What are the ranks of the 2 songs produced in the earliest year?,"[1, 2]",035_Billboard
What are the years of production of the top 5 songs with the longest lyrics?,"[1998, 2009, 2010, 2007, 2002]",035_Billboard
Is the song with the highest rank from 1965 by the Beatles?,False,035_Billboard
Which artist has the song with the highest rank in 1965?,sam the sham and the pharaohs,035_Billboard
Who are the artists of the top 3 songs in 1965?,"['sam the sham and the pharaohs', 'four tops', 'the beach boys']",035_Billboard
What are the years of production of the top 3 songs with the word 'love' in their lyrics by the Beatles?,"[1967, 1965, 1966]",035_Billboard
"Are there records where the 'count' exceeds 20,000?",True,036_US
Do we have any records originating from 'Jefferson'?,True,036_US
Are there destinations with the name 'Baldwin'?,True,036_US
Are there records where the latitude of the destination is greater than 60?,True,036_US
How many unique destinations are there in the dataset?,3219,036_US
"On average, how many times is each origin-destination pair reported?",67.7453798126951,036_US
What's the highest count value in the dataset?,40580,036_US
How many unique origin names are there in the dataset?,1904,036_US
From which origin do we have the highest 'count' recorded?,,036_US
To which destination do we find the highest 'count' reported?,Los Angeles,036_US
Which origin has the lowest latitude?,Guáanica,036_US
Which destination has the highest longitude?,Fajardo,036_US
What are the 3 origins with the highest average count?,"['Los Angeles', 'New York', 'San Francisco']",036_US
Which are the 4 destinations with the lowest average count?,"['Kalawao', 'Loving', 'Kenedy', 'Wheatland']",036_US
List the 5 origins with the highest average latitude values.,"['North Slope', 'Northwest Arctic', 'Yukon-Koyukuk', 'Nome', 'Fairbanks North Star']",036_US
Which 2 origins have the lowest non-null average longitude values?,"['Aleutians West', 'Nome']",036_US
List the highest 5 count values.,"[40580, 39899, 38430, 28524, 24452]",036_US
What are the 3 highest latitude values for destinations?,"[69.42718361, 69.42718361, 69.42718361]",036_US
Rank the lowest 4 longitude values for origins.,"[-167.08526, -167.08526, -167.08526, -167.08526]",036_US
Which 6 destination IDs have the highest average counts?,"[6037, 36061, 48201, 6059, 6071, 6085]",036_US
Are there talks with more than a million views?,True,037_Ted
Is there a talk by 'Elon Musk'?,True,037_Ted
Are there any TEDx events included?,True,037_Ted
Are there talks available in more than 10 languages?,True,037_Ted
How many unique speakers are there in the dataset?,3274,037_Ted
What's the average number of views for the talks?,2148005.5737827714,037_Ted
What's the maximum duration of a talk (in seconds)?,3922,037_Ted
How many talks have more than 500 comments?,186,037_Ted
Which event has the highest average views?,TEDxPuget Sound,037_Ted
Which speaker's talk has the most comments?,Richard Dawkins,037_Ted
Which talk's title has the least views?,Por qué necesitamos proteger el alta mar,037_Ted
In which event was the longest talk held?,Countdown,037_Ted
Which are the top 4 events with the highest average number of comments?,"['TEDxPuget Sound', 'TEDxHouston', 'TEDxFiDiWomen', 'TEDxUW']",037_Ted
List the top 3 most frequent speakers in the dataset. If two have the same count go by alphabetical order. ,"['Alex Gendler', 'Iseult Gillespie', 'Emma Bryce']",037_Ted
Which 5 events have the shortest average talk durations?,"['TEDxConcorde', 'Small Thing Big Idea', 'The TED Interview', 'TEDxConcordiaUPortland', 'The Way We Work']",037_Ted
List 2 events with the most number of talks.,"['TED-Ed', 'TED2018']",037_Ted
What are the top 4 most viewed talks' view counts?,"[65051954, 57074270, 56932551, 49730580]",037_Ted
List the 3 shortest talk durations in the dataset.,"[60, 78, 78]",037_Ted
What are the 5 highest number of comments?,"[6449.0, 4931.0, 3424.0, 3006.0, 2984.0]",037_Ted
List the view counts of the 6 least viewed talks.,"[0, 0, 0, 0, 0, 0]",037_Ted
